연도,호봉,봉급(원)
2026,1,2041500
2026,2,2103300
2026,3,2166000
2026,4,2228500
2026,5,2291500
2026,6,2354400
2026,7,2416600
2026,8,2478600
2026,9,2495600
2026,10,2516700
2026,11,2538300
2026,12,2585900
2026,13,2657500
2026,14,2773700
2026,15,2889700
2026,16,3006200
2026,17,3121000
2026,18,3241500
2026,19,3361200
2026,20,3481000
2026,21,3600700
2026,22,3733600
2026,23,3865300
2026,24,3997500
2026,25,4129400
2026,26,4261900
2026,27,4400100
2026,28,4538000
2026,29,4682100
2026,30,4826800
2026,31,4971100
2026,32,5115200
2026,33,5261600
2026,34,5407500
2026,35,5553600
2026,36,5699100
2026,37,5825700
2026,38,5952500
2026,39,6079500
2026,40,6205700
