이후기간(2010년이후) \ 종전기간(2009년이전),32년이상,31년이상~32년미만,30년이상~31년미만,29년이상~30년미만,28년이상~29년미만,27년이상~28년미만,26년이상~27년미만,25년이상~26년미만,24년이상~25년미만,23년이상~24년미만,22년이상~23년미만,21년이상~22년미만,20년이상~21년미만,19년이상~20년미만,18년이상~19년미만,17년이상~18년미만,16년이상~17년미만,15년이상~16년미만,14년이상~15년미만,13년이상~14년미만,12년이상~13년미만,11년이상~12년미만,10년이상~11년미만,9년이상~10년미만,8년이상~9년미만,7년이상~8년미만,6년이상~7년미만,5년이상~6년미만,4년이상~5년미만,3년이상~4년미만,2년이상~3년미만,1년이상~2년미만,1월이상~1년미만,신규자
~1년이하,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,67.46,84.33,84.33,84.33,84.33,84.33,84.33,84.33,84.33,84.33,84.33,83.69,83.04,81.9,81.76,81.11,80.47,79.83,79.18,78.54,77.9,77.25
1년초과~2년이하,,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,67.94,76.43,84.92,84.92,84.92,84.92,84.92,84.92,84.92,84.92,84.92,84.53,83.88,82.72,82.58,81.93,81.28,80.63,79.98,79.33,78.68,78.03
2년초과~3년이하,,,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,68.42,74.12,79.82,85.53,85.53,85.53,85.53,85.53,85.53,85.53,85.53,84.87,84.22,83.06,82.92,82.26,81.61,80.96,80.31,79.66,79.0,78.35
3년초과~4년이하,,,,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91,73.22,77.52,81.83,86.14,86.14,86.14,86.14,86.14,86.14,86.14,85.48,84.82,83.65,83.51,82.85,82.2,81.54,80.88,80.22,79.57,78.91
4년초과~5년이하,,,,,69.48,69.48,69.48,69.48,69.48,69.48,69.48,69.48,69.48,72.95,76.43,79.9,83.37,86.85,86.85,86.85,86.85,86.85,86.85,86.18,85.52,84.34,84.2,83.54,82.87,82.21,81.55,80.89,80.22,79.56
5년초과~6년이하,,,,,,69.91,69.91,69.91,69.91,69.91,69.91,69.91,69.91,72.82,75.74,78.65,81.56,84.47,87.39,87.39,87.39,87.39,87.39,86.72,86.05,84.87,84.72,84.05,83.39,82.72,82.06,81.39,80.72,80.06
6년초과~7년이하,,,,,,,70.49,70.49,70.49,70.49,70.49,70.49,70.49,73.01,75.53,78.05,80.57,83.08,85.6,88.12,88.12,88.12,88.12,87.45,86.77,85.58,85.43,84.76,84.09,83.41,82.74,82.07,81.4,80.72
7년초과~8년이하,,,,,,,,71.01,71.01,71.01,71.01,71.01,71.01,73.23,75.45,77.67,79.89,82.11,84.33,86.55,88.77,88.77,88.77,88.09,87.41,86.21,86.06,85.38,84.7,84.03,83.35,82.67,82.0,81.32
8년초과~9년이하,,,,,,,,,71.39,71.39,71.39,71.39,71.39,73.37,75.36,77.34,79.32,81.3,83.29,85.27,87.25,89.24,89.24,88.56,87.88,86.66,86.51,85.83,85.15,84.47,83.79,83.11,82.43,81.75
9년초과~10년이하,,,,,,,,,,72.0,72.0,72.0,72.0,73.8,75.6,77.4,79.2,81.0,82.8,84.6,86.4,88.2,90.0,89.31,88.63,87.4,87.25,86.57,85.88,85.19,84.51,83.82,83.13,82.45
