고시연도,소득귀속연도,평균액(원),전년대비,확인수준,출처
2009,2008,,,미확보,고시 제도 시행(2011) 이전
2010,2009,,,미확보,고시 제도 시행(2011) 이전
2011,2010,3950000,,2차,납세자연맹 인용 언론
2012,2011,4150000,+5.06%,2차,납세자연맹 인용 언론
2013,2012,4350000,+4.82%,2차,납세자연맹 인용 언론
2014,2013,4470000,+2.76%,2차,납세자연맹 인용 언론
2015,2014,4670000,+4.47%,2차,납세자연맹 인용 언론
2016,2015,4910000,+5.14%,2차,납세자연맹 인용 언론
2017,2016,5100000,+3.87%,고시,고시 원문
2018,2017,5220000,+2.35%,고시,2019년 보도의 전년 대비(6264만원/12) 교차확인
2019,2018,5300000,+1.53%,관보보도,인사혁신처 2019.4.26 관보 / 한국경제·뉴스핌 2건
2020,2019,5390000,+1.70%,관보보도,인사혁신처 2020.4.29 관보 / 한국경제
2021,2020,5350000,-0.74%,관보보도,2022년 보도의 전년 대비 언급 2건. 코로나로 전년 대비 감소
2022,2021,5390000,+0.75%,관보보도,인사혁신처 2022.4.29 관보 / 일간NTN·퍼블릭타임스
2023,2022,5440000,+0.93%,고시,2023.4.28 인사혁신처장 고시 / 공무원연금공단 공지
2024,2023,5520000,+1.47%,관보보도,인사혁신처 2024 관보 / 파이낸셜투데이·국제뉴스
2025,2024,5710000,+3.44%,고시,2025.4.30 인사혁신처장 고시 / 공무원연금공단 공지
2026,2025,5950000,+4.20%,고시,"2026.4.30 고시, 적용 2026.5.1~2027.4.30"
